,Timestamp,Year of joining the Firm ( Eg: 2016) ,Industry Domain,Type ,Firm CTC,Duration of Employment?,Satisfaction in your Company ,Ability to Grow in the industry ,Choice
537,2020/01/19 6:46:07 PM GMT+5:30,2019,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
538,2020/01/19 6:46:07 PM GMT+5:31,2020,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
539,2020/01/19 6:46:07 PM GMT+5:32,2021,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
540,2020/01/19 6:46:07 PM GMT+5:33,2022,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
541,2020/01/19 6:46:07 PM GMT+5:34,2023,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
542,2020/01/19 6:46:07 PM GMT+5:35,2024,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
543,2020/01/19 6:46:07 PM GMT+5:36,2025,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
544,2020/01/19 6:46:07 PM GMT+5:37,2026,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
545,2020/01/19 6:46:07 PM GMT+5:38,2027,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
546,2020/01/19 6:46:07 PM GMT+5:39,2028,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
547,2020/01/19 6:46:07 PM GMT+5:40,2029,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
548,2020/01/19 6:46:07 PM GMT+5:41,2030,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
549,2020/01/19 6:46:07 PM GMT+5:42,2031,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
550,2020/01/19 6:46:07 PM GMT+5:43,2032,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
551,2020/01/19 6:46:07 PM GMT+5:44,2033,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
552,2020/01/19 6:46:07 PM GMT+5:45,2034,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
553,2020/01/19 6:46:07 PM GMT+5:46,2035,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
554,2020/01/19 6:46:07 PM GMT+5:47,2036,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
555,2020/01/17 8:16:16 PM GMT+5:43,2031,Tech services,1,3,14 Year,Not Satisfied,Low Growth,Higher Studies
556,2020/01/17 8:16:16 PM GMT+5:44,2032,Tech services,1,3,15 Year,Not Satisfied,Low Growth,Higher Studies
557,2020/01/17 8:16:16 PM GMT+5:45,2033,Tech services,1,3,16 Year,Not Satisfied,Low Growth,Higher Studies
558,2020/01/17 8:16:16 PM GMT+5:46,2034,Tech services,1,3,17 Year,Not Satisfied,Low Growth,Higher Studies
559,2020/01/17 8:16:16 PM GMT+5:47,2035,Tech services,1,3,18 Year,Not Satisfied,Low Growth,Higher Studies
560,2020/01/17 8:16:16 PM GMT+5:48,2036,Tech services,1,3,19 Year,Not Satisfied,Low Growth,Higher Studies
561,2020/01/17 8:16:16 PM GMT+5:49,2037,Tech services,1,3,20 Year,Not Satisfied,Low Growth,Higher Studies
562,2020/01/17 8:16:16 PM GMT+5:50,2038,Tech services,1,3,21 Year,Not Satisfied,Low Growth,Higher Studies
563,2020/01/17 8:16:16 PM GMT+5:51,2039,Tech services,1,3,22 Year,Not Satisfied,Low Growth,Higher Studies
564,2020/01/17 8:16:16 PM GMT+5:52,2040,Tech services,1,3,23 Year,Not Satisfied,Low Growth,Higher Studies
