,Timestamp,Year of joining the Firm ( Eg: 2016) ,Industry Domain,Type ,Firm CTC,Duration of Employment?,Satisfaction in your Company ,Ability to Grow in the industry ,Choice
154,2020/01/17 5:49:49 PM GMT+5:30,2018,,0,2,2 Years,Very Satisfied,High Growth,Work
155,2020/01/17 5:54:50 PM GMT+5:30,2016,,1,3,< 1 Year,Very Satisfied,High Growth,Work
156,2020/01/17 6:13:46 PM GMT+5:30,2018,,0,3,1 Year,Very Satisfied,High Growth,Work
157,2020/01/17 6:14:23 PM GMT+5:30,2018,,0,2,1 Year,Satisfied,Mid Growth,Work
158,2020/01/17 6:15:06 PM GMT+5:30,2017,,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
159,2020/01/17 6:34:58 PM GMT+5:30,2019,,0,3,1 Year,Very Satisfied,High Growth,Work
160,2020/01/17 6:39:31 PM GMT+5:30,2018,Automobile,0,3,1 Year,Satisfied,High Growth,Higher Studies
161,2020/01/17 6:48:12 PM GMT+5:30,2016,Computer Science,1,3,< 1 Year,Satisfied,Mid Growth,Higher Studies
162,2020/01/17 7:23:45 PM GMT+5:30,2014,Automotive,1,2,1 Year,Not Satisfied,High Growth,Work
163,2020/01/17 7:42:59 PM GMT+5:30,2018,Service,0,2,1 Year,Very Satisfied,High Growth,Higher Studies
164,2020/01/17 7:45:46 PM GMT+5:30,2018,Software Testing,0,2,< 1 Year,Not Satisfied,Low Growth,Higher Studies
165,2020/01/17 7:56:24 PM GMT+5:30,2016,Operation analyst,0,3,1 Year,Very Satisfied,High Growth,Higher Studies
166,2020/01/17 7:58:45 PM GMT+5:30,2018,Software,1,3,< 1 Year,Satisfied,Mid Growth,Higher Studies
167,2020/01/17 8:16:16 PM GMT+5:30,2018,Tech services,0,3,1 Year,Not Satisfied,Low Growth,Higher Studies
168,2020/01/17 8:16:54 PM GMT+5:30,2018,Tech Services,0,2,< 1 Year,Not Satisfied,Low Growth,Higher Studies
169,2020/01/17 10:10:34 PM GMT+5:30,2017,Automotive Industry,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
170,2020/01/18 10:57:35 PM GMT+5:30,2019,It services,0,1,< 1 Year,Not Satisfied,Low Growth,Work
171,2020/01/18 10:59:50 PM GMT+5:30,2019,Information Technology,0,1,< 1 Year,Very Satisfied,High Growth,Work
172,2020/01/18 11:02:11 PM GMT+5:30,2019,Telecom/R&D,0,2,< 1 Year,Very Satisfied,High Growth,Work
173,2020/01/18 11:07:12 PM GMT+5:30,2015,Machine Learning,0,1,< 1 Year,Very Satisfied,High Growth,Work
174,2020/01/18 11:10:04 PM GMT+5:30,2019,Data Backup and Engineering Solutions,1,2,< 1 Year,Very Satisfied,High Growth,Work
175,2020/01/18 11:35:14 PM GMT+5:30,2019,Software,0,1,< 1 Year,Very Satisfied,High Growth,Work
176,2020/01/19 12:52:38 AM GMT+5:30,2019,Software,1,2,< 1 Year,Very Satisfied,High Growth,Work
177,2020/01/19 12:58:09 AM GMT+5:30,2015,"UI, BIGDATA",1,2,2 Years,Very Satisfied,High Growth,Work
178,2020/01/19 4:11:21 AM GMT+5:30,2019,Consulting ,1,1,< 1 Year,Very Satisfied,High Growth,Work
179,2020/01/19 7:55:41 AM GMT+5:30,2005,Banking,0,3,3 Years,Satisfied,High Growth,Higher Studies
180,2020/01/19 9:24:08 AM GMT+5:30,2019,Technology consulting,1,1,< 1 Year,Very Satisfied,High Growth,Work
181,2020/01/19 10:23:24 AM GMT+5:30,2019,IT,1,1,< 1 Year,Satisfied,High Growth,Work
182,2020/01/19 10:38:34 AM GMT+5:30,2019,Travel Tech,0,1,< 1 Year,Very Satisfied,High Growth,Work
183,2020/01/19 12:17:00 PM GMT+5:30,2019,Healthcare,0,2,< 1 Year,Very Satisfied,High Growth,Work
184,2020/01/19 1:04:11 PM GMT+5:30,2019,Web Scrapiny,1,2,< 1 Year,Satisfied,High Growth,Work
185,2020/01/19 1:08:38 PM GMT+5:30,2019,Networking,0,1,< 1 Year,Very Satisfied,High Growth,Work
186,2020/01/19 5:47:15 PM GMT+5:30,2019,Insurance Domain,0,2,2 Years,Not Satisfied,Low Growth,Higher Studies
187,2020/01/19 6:46:07 PM GMT+5:30,2019,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
188,2020/01/20 8:33:01 AM GMT+5:30,2019,IT,1,2,< 1 Year,Satisfied,Mid Growth,Higher Studies
189,2020/01/20 10:26:22 AM GMT+5:30,2016,Web development,1,3,< 1 Year,Very Satisfied,High Growth,Work
190,2020/01/20 10:29:11 AM GMT+5:30,2019,IT,1,3,< 1 Year,Satisfied,Mid Growth,Work
191,2020/01/20 5:02:22 PM GMT+5:30,2019,IT,1,2,> 3 Years,Very Satisfied,High Growth,Work
192,2020/01/20 11:06:36 PM GMT+5:30,2019,Telecom,1,1,< 1 Year,Very Satisfied,High Growth,Work
193,2020/01/22 1:13:06 AM GMT+5:30,2019,Healthcare,0,1,< 1 Year,Very Satisfied,High Growth,Work
194,2020/01/22 1:32:59 PM GMT+5:30,2019,Telecommunication,0,2,< 1 Year,Satisfied,Mid Growth,Work
195,2020/01/22 11:35:27 PM GMT+5:30,2019,Consulting,0,2,< 1 Year,Very Satisfied,High Growth,Work
196,2020/01/23 2:18:37 AM GMT+5:30,2019,Networking / Telecommunication,0,1,< 1 Year,Very Satisfied,High Growth,Work
197,2020/01/25 11:21:29 AM GMT+5:30,2019,IT,0,3,< 1 Year,Satisfied,Mid Growth,Work
198,2020/02/07 8:43:26 AM GMT+5:30,2019,IT,0,1,< 1 Year,Very Satisfied,High Growth,Work
199,2020/02/11 7:32:21 PM GMT+5:30,2019,IT,0,1,< 1 Year,Very Satisfied,High Growth,Work
200,2020/01/17 4:53:33 PM GMT+5:30,2018,,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
201,2020/01/17 5:05:02 PM GMT+5:30,2018,,0,2,< 1 Year,Not Satisfied,Low Growth,Work
202,2020/01/17 5:33:24 PM GMT+5:30,2019,,0,1,< 1 Year,Very Satisfied,High Growth,Work
203,2020/01/17 5:49:48 PM GMT+5:30,2019,,0,3,< 1 Year,Satisfied,Mid Growth,Work
204,2020/01/17 5:49:49 PM GMT+5:30,2018,,0,2,2 Years,Very Satisfied,High Growth,Work
205,2020/01/17 5:54:50 PM GMT+5:30,2016,,1,3,< 1 Year,Very Satisfied,High Growth,Work
206,2020/01/17 6:13:46 PM GMT+5:30,2018,,0,3,1 Year,Very Satisfied,High Growth,Work
207,2020/01/17 6:14:23 PM GMT+5:30,2018,,0,2,1 Year,Satisfied,Mid Growth,Work
208,2020/01/17 6:15:06 PM GMT+5:30,2017,,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
